0,1,2,3,4,5
1535932800000,7302.00000000,7325.00000000,7267.20000000,7282.30000000,1216.44169400
1535936400000,7282.30000000,7282.63000000,7248.00000000,7271.64000000,1342.62260700
1535940000000,7271.64000000,7283.00000000,7246.02000000,7281.21000000,1200.83689100
1535943600000,7282.99000000,7292.00000000,7257.87000000,7263.02000000,984.70504600
1535947200000,7263.48000000,7264.04000000,7191.63000000,7210.46000000,2070.88296500
1535950800000,7210.46000000,7230.01000000,7207.26000000,7225.00000000,407.45656200
1535954400000,7225.02000000,7260.00000000,7213.25000000,7257.43000000,1556.70585900
1535958000000,7257.43000000,7260.00000000,7233.10000000,7253.01000000,1040.14443500
1535961600000,7253.01000000,7275.00000000,7241.30000000,7250.22000000,1367.73782900
1535965200000,7251.93000000,7252.00000000,7213.53000000,7224.11000000,1251.02974500
1535968800000,7224.14000000,7245.43000000,7214.64000000,7240.52000000,1371.72900200
1535972400000,7240.01000000,7245.01000000,7219.78000000,7226.60000000,1536.01539600
1535976000000,7226.60000000,7267.00000000,7225.00000000,7254.53000000,1727.03794300
1535979600000,7253.03000000,7308.00000000,7250.50000000,7286.01000000,2022.74503000
1535983200000,7286.01000000,7296.94000000,7256.34000000,7291.60000000,961.02788500
1535986800000,7290.09000000,7298.00000000,7273.62000000,7288.02000000,1209.01419900
1535990400000,7288.14000000,7293.91000000,7254.00000000,7263.04000000,1548.84869100
1535994000000,7263.02000000,7297.00000000,7257.03000000,7286.01000000,1193.57231500
1535997600000,7286.00000000,7290.90000000,7270.00000000,7284.35000000,1109.38567000
1536001200000,7284.36000000,7338.28000000,7271.00000000,7316.19000000,2069.24207000
1536004800000,7316.95000000,7320.00000000,7280.00000000,7305.30000000,1257.60086500
1536008400000,7305.35000000,7320.00000000,7292.18000000,7320.00000000,1072.40430600
1536012000000,7320.00000000,7337.54000000,7255.00000000,7260.35000000,1553.95135600
1536015600000,7260.29000000,7279.00000000,7225.89000000,7263.02000000,1324.88001000
1536019200000,7263.00000000,7277.00000000,7252.35000000,7270.03000000,1360.61904300
1536022800000,7270.62000000,7292.00000000,7270.01000000,7284.28000000,1688.85614400
1536026400000,7284.23000000,7297.09000000,7276.00000000,7280.30000000,458.69373900
1536030000000,7280.59000000,7285.49000000,7271.00000000,7272.05000000,569.42359200
1536033600000,7272.19000000,7280.58000000,7227.17000000,7268.58000000,1475.43233300
1536037200000,7271.79000000,7280.00000000,7262.00000000,7276.33000000,890.54525400
1536040800000,7276.33000000,7310.00000000,7275.09000000,7293.71000000,1668.86277100
1536044400000,7291.13000000,7323.18000000,7282.65000000,7323.18000000,1590.73709600
1536048000000,7323.18000000,7328.00000000,7297.63000000,7299.01000000,1413.59748300
1536051600000,7299.50000000,7310.00000000,7290.29000000,7305.03000000,1008.45853200
1536055200000,7305.03000000,7326.00000000,7303.36000000,7325.00000000,1478.41317700
1536058800000,7325.00000000,7349.00000000,7318.24000000,7345.00000000,1859.86054800
1536062400000,7344.17000000,7410.00000000,7343.30000000,7363.90000000,2947.94723900
1536066000000,7363.90000000,7375.06000000,7335.00000000,7373.00000000,1960.48017300
1536069600000,7373.63000000,7387.88000000,7364.59000000,7368.94000000,1908.52280300
1536073200000,7368.94000000,7385.00000000,7356.09000000,7377.89000000,1810.34514500
1536076800000,7377.88000000,7381.53000000,7359.30000000,7378.13000000,1891.31353700
1536080400000,7378.13000000,7392.23000000,7376.46000000,7387.72000000,1783.89370800
1536084000000,7387.60000000,7409.90000000,7336.00000000,7358.03000000,1913.78782300
1536087600000,7358.49000000,7377.66000000,7336.00000000,7356.00000000,1190.63616100
1536091200000,7355.94000000,7370.94000000,7346.00000000,7365.25000000,1452.17582800
1536094800000,7367.60000000,7380.00000000,7355.66000000,7362.01000000,1041.81074300
1536098400000,7362.01000000,7369.69000000,7341.00000000,7359.21000000,700.93817600
1536102000000,7359.49000000,7364.67000000,7345.00000000,7359.06000000,1235.28947000
1536105600000,7359.05000000,7379.00000000,7355.00000000,7379.00000000,1613.70749000
1536109200000,7379.00000000,7394.98000000,7367.01000000,7386.46000000,1404.25242100
1536112800000,7386.45000000,7388.64000000,7370.00000000,7375.00000000,1274.86769800
1536116400000,7373.02000000,7381.80000000,7359.00000000,7379.33000000,1006.62296800
1536120000000,7379.17000000,7382.86000000,7359.00000000,7367.19000000,1261.27713100
1536123600000,7367.19000000,7388.00000000,7365.84000000,7382.74000000,1131.40295200
1536127200000,7382.74000000,7397.30000000,7362.00000000,7381.11000000,1431.54070500
1536130800000,7381.12000000,7383.40000000,7363.00000000,7367.16000000,1316.19449000
1536134400000,7367.83000000,7393.59000000,7364.40000000,7383.00000000,1133.78477200
1536138000000,7384.71000000,7390.41000000,7078.00000000,7092.11000000,4425.95902600
1536141600000,7092.11000000,7180.00000000,6909.00000000,6992.26000000,6972.02320700
1536145200000,6992.26000000,7036.17000000,6934.00000000,6991.90000000,5039.52900600
1536148800000,6991.02000000,7037.95000000,6965.00000000,6986.75000000,3813.36830800
1536152400000,6986.00000000,7050.00000000,6967.62000000,7036.04000000,2835.92629200
1536156000000,7033.10000000,7040.98000000,6986.09000000,7017.18000000,2316.11615300
1536159600000,7017.18000000,7018.18000000,6934.29000000,6990.02000000,2686.84420500
1536163200000,6990.50000000,7000.00000000,6851.00000000,6916.65000000,4540.05589900
1536166800000,6917.04000000,6933.95000000,6860.25000000,6912.82000000,3636.97503200
1536170400000,6915.99000000,6937.85000000,6893.00000000,6923.63000000,2132.37822000
1536174000000,6923.64000000,6938.00000000,6885.00000000,6912.76000000,2552.13704000
1536177600000,6912.76000000,6968.00000000,6912.76000000,6968.00000000,2112.27509800
1536181200000,6967.99000000,6995.00000000,6925.03000000,6939.01000000,1815.24215700
1536184800000,6940.00000000,6940.00000000,6877.00000000,6909.42000000,1831.29898500
1536188400000,6909.42000000,6927.55000000,6682.00000000,6700.00000000,5431.47701200
1536192000000,6697.27000000,6725.00000000,6313.23000000,6462.03000000,10412.57098500
1536195600000,6462.03000000,6478.99000000,6405.00000000,6436.97000000,4445.33929500
1536199200000,6432.80000000,6511.55000000,6432.80000000,6471.99000000,3907.69652200
1536202800000,6471.99000000,6475.00000000,6411.00000000,6444.58000000,2099.50935100
1536206400000,6444.60000000,6476.46000000,6422.00000000,6442.00000000,2013.75054200
1536210000000,6448.58000000,6475.00000000,6352.74000000,6402.86000000,2771.96840900
1536213600000,6400.10000000,6448.00000000,6373.92000000,6418.67000000,2072.22349400
1536217200000,6420.25000000,6437.00000000,6381.06000000,6405.88000000,1924.48237400
1536220800000,6405.88000000,6450.00000000,6378.99000000,6433.97000000,1220.61294400
1536224400000,6437.18000000,6438.98000000,6265.00000000,6393.96000000,3564.51900800
1536228000000,6393.96000000,6415.00000000,6343.37000000,6379.25000000,2281.18294100
1536231600000,6379.24000000,6427.44000000,6375.23000000,6408.65000000,1884.30266000
1536235200000,6409.41000000,6419.91000000,6383.00000000,6403.02000000,1719.17437500
1536238800000,6400.30000000,6520.00000000,6388.00000000,6498.89000000,3505.55061400
1536242400000,6500.40000000,6533.00000000,6453.02000000,6478.04000000,2477.33345700
1536246000000,6478.05000000,6478.63000000,6401.00000000,6422.51000000,2124.72766300
1536249600000,6423.26000000,6458.15000000,6395.00000000,6428.46000000,2282.75430300
1536253200000,6428.46000000,6450.00000000,6362.50000000,6383.00000000,1223.54667200
1536256800000,6389.05000000,6450.00000000,6359.00000000,6424.59000000,1637.93928700
1536260400000,6422.97000000,6483.00000000,6414.05000000,6474.88000000,1211.10462100
1536264000000,6470.68000000,6473.64000000,6436.82000000,6453.00000000,1424.37020000
1536267600000,6453.01000000,6474.11000000,6428.03000000,6444.46000000,1027.29470300
1536271200000,6442.15000000,6476.17000000,6438.55000000,6474.68000000,1242.87904000
1536274800000,6472.61000000,6544.00000000,6470.33000000,6516.01000000,2169.63076700
1536278400000,6516.84000000,6516.84000000,6465.00000000,6494.08000000,1501.88953600
1536282000000,6494.06000000,6530.54000000,6491.28000000,6529.95000000,1536.09704700
1536285600000,6522.60000000,6544.00000000,6482.83000000,6499.98000000,2466.05224600
1536289200000,6495.57000000,6510.00000000,6490.01000000,6492.27000000,1298.03441100
1536292800000,6494.00000000,6496.78000000,6470.00000000,6485.98000000,1676.91274300
1536296400000,6486.48000000,6515.12000000,6485.98000000,6511.40000000,1176.09931400
1536300000000,6512.07000000,6536.00000000,6453.41000000,6465.92000000,1757.93912000
1536303600000,6464.64000000,6490.24000000,6464.02000000,6486.45000000,1138.35153700
1536307200000,6487.20000000,6489.23000000,6425.97000000,6446.92000000,1581.75399000
1536310800000,6446.95000000,6462.00000000,6430.00000000,6454.60000000,1433.41415400
1536314400000,6454.59000000,6458.37000000,6320.00000000,6363.05000000,3416.36582400
1536318000000,6363.06000000,6389.42000000,6340.00000000,6367.00000000,1254.97935500
1536321600000,6367.00000000,6448.00000000,6365.05000000,6428.20000000,2511.81752800
1536325200000,6429.00000000,6449.00000000,6418.11000000,6439.61000000,1543.77706400
1536328800000,6438.55000000,6480.00000000,6390.00000000,6415.82000000,1981.50390000
1536332400000,6415.84000000,6443.02000000,6350.00000000,6375.69000000,1963.05095800
1536336000000,6373.69000000,6477.00000000,6360.00000000,6438.79000000,2187.04629400
1536339600000,6440.55000000,6450.00000000,6386.00000000,6422.37000000,1369.35212100
1536343200000,6422.36000000,6436.85000000,6400.01000000,6417.11000000,1610.00872500
1536346800000,6416.55000000,6435.12000000,6400.00000000,6418.99000000,1455.24643100
1536350400000,6419.00000000,6460.00000000,6411.43000000,6457.15000000,1322.57298400
1536354000000,6454.14000000,6457.13000000,6410.00000000,6427.18000000,837.68150400
1536357600000,6427.19000000,6428.59000000,6391.00000000,6398.01000000,789.73431700
1536361200000,6398.01000000,6420.01000000,6380.01000000,6395.54000000,1096.60694700
1536364800000,6395.54000000,6448.21000000,6390.73000000,6432.60000000,1196.78283100
1536368400000,6432.59000000,6445.48000000,6415.51000000,6421.20000000,676.86068200
1536372000000,6422.00000000,6459.00000000,6422.00000000,6444.18000000,1078.52685500
1536375600000,6443.44000000,6452.00000000,6414.00000000,6428.75000000,1206.98531000
1536379200000,6428.75000000,6433.88000000,6412.00000000,6432.11000000,668.47050600
1536382800000,6432.11000000,6453.56000000,6420.00000000,6442.61000000,853.66665600
1536386400000,6443.49000000,6468.00000000,6437.75000000,6444.01000000,1325.80195200
1536390000000,6444.99000000,6455.00000000,6440.06000000,6449.02000000,1092.84332300
1536393600000,6449.97000000,6478.00000000,6449.01000000,6464.56000000,1492.62876600
1536397200000,6465.75000000,6470.00000000,6440.05000000,6467.26000000,807.90238700
1536400800000,6467.26000000,6471.00000000,6450.00000000,6459.11000000,1029.99581900
1536404400000,6459.13000000,6464.93000000,6418.03000000,6429.01000000,1707.58498700
1536408000000,6429.01000000,6431.43000000,6355.55000000,6407.31000000,2178.83684700
1536411600000,6407.31000000,6422.94000000,6385.20000000,6414.42000000,1034.20916200
1536415200000,6415.61000000,6417.18000000,6381.62000000,6404.03000000,1372.63166800
1536418800000,6404.41000000,6432.96000000,6385.99000000,6429.40000000,1199.92483200
1536422400000,6429.40000000,6434.11000000,6357.00000000,6368.07000000,1576.50222000
1536426000000,6365.17000000,6405.73000000,6165.58000000,6212.33000000,5226.94848600
1536429600000,6212.33000000,6215.00000000,6125.00000000,6186.29000000,3930.44171700
1536433200000,6186.28000000,6208.00000000,6150.00000000,6176.04000000,1672.10403300
1536436800000,6176.05000000,6185.00000000,6111.00000000,6168.00000000,2548.09859500
1536440400000,6169.30000000,6180.91000000,6153.25000000,6180.00000000,1467.77626900
1536444000000,6180.00000000,6206.88000000,6158.80000000,6180.03000000,1752.95638600
1536447600000,6180.91000000,6194.98000000,6167.38000000,6185.05000000,1116.55188200
1536451200000,6185.06000000,6190.71000000,6164.00000000,6175.40000000,1120.19553600
1536454800000,6173.07000000,6206.00000000,6173.00000000,6206.00000000,1085.05124400
1536458400000,6205.66000000,6205.66000000,6145.00000000,6160.99000000,1555.72065600
1536462000000,6157.06000000,6180.00000000,6141.53000000,6171.92000000,1199.94727800
1536465600000,6171.92000000,6190.69000000,6164.23000000,6171.50000000,1172.49568500
1536469200000,6173.07000000,6190.00000000,6170.29000000,6180.18000000,950.49701100
1536472800000,6180.18000000,6199.05000000,6180.18000000,6185.99000000,999.72475700
1536476400000,6185.98000000,6193.11000000,6176.88000000,6187.83000000,1905.66878300
1536480000000,6186.86000000,6196.96000000,6181.55000000,6195.90000000,1592.83775700
1536483600000,6195.93000000,6441.00000000,6188.00000000,6382.71000000,4464.76031100
1536487200000,6382.72000000,6397.79000000,6342.00000000,6359.97000000,1688.84868200
1536490800000,6356.71000000,6387.56000000,6354.76000000,6377.77000000,1277.94498800
1536494400000,6377.77000000,6396.00000000,6370.22000000,6392.60000000,1544.14394400
1536498000000,6391.70000000,6436.00000000,6385.17000000,6398.82000000,2256.40009800
1536501600000,6396.31000000,6423.81000000,6375.43000000,6380.69000000,1504.31037100
1536505200000,6382.07000000,6390.00000000,6352.74000000,6369.05000000,1279.50463500
1536508800000,6369.05000000,6387.12000000,6360.33000000,6382.60000000,1715.90424500
1536512400000,6382.63000000,6388.18000000,6366.42000000,6377.25000000,820.95715100
1536516000000,6375.57000000,6396.28000000,6373.49000000,6377.52000000,1364.47137200
1536519600000,6375.47000000,6394.99000000,6373.03000000,6384.19000000,1027.15520000
1536523200000,6384.19000000,6400.00000000,6378.66000000,6392.39000000,1093.84606300
1536526800000,6395.89000000,6400.00000000,6368.00000000,6374.20000000,1181.48467000
1536530400000,6374.19000000,6376.96000000,6211.00000000,6252.91000000,3195.06673400
1536534000000,6252.91000000,6291.00000000,6235.08000000,6250.81000000,1056.98664900
1536537600000,6252.26000000,6279.78000000,6246.39000000,6262.63000000,2104.10270400
1536541200000,6263.52000000,6373.98000000,6262.69000000,6334.97000000,1327.91362900
1536544800000,6334.97000000,6354.82000000,6312.00000000,6321.23000000,783.35443600
1536548400000,6322.11000000,6323.36000000,6288.48000000,6312.97000000,1418.09425800
1536552000000,6314.01000000,6314.02000000,6259.00000000,6281.65000000,1328.05400900
1536555600000,6281.65000000,6309.31000000,6280.00000000,6304.02000000,894.07502200
1536559200000,6304.02000000,6334.47000000,6290.00000000,6332.10000000,1154.37137600
1536562800000,6332.10000000,6346.81000000,6315.00000000,6326.25000000,1317.72925500
1536566400000,6326.27000000,6342.08000000,6290.00000000,6301.83000000,846.75987300
1536570000000,6303.13000000,6305.00000000,6262.00000000,6300.08000000,1595.10596000
1536573600000,6300.09000000,6320.00000000,6245.00000000,6306.02000000,1667.12142100
1536577200000,6306.04000000,6318.50000000,6278.00000000,6313.00000000,1139.07084500
1536580800000,6313.00000000,6318.00000000,6291.50000000,6296.98000000,1341.11936900
1536584400000,6302.33000000,6312.94000000,6271.84000000,6301.14000000,1428.04411800
1536588000000,6299.52000000,6346.99000000,6296.99000000,6311.87000000,1515.19594300
1536591600000,6311.85000000,6315.35000000,6282.06000000,6295.74000000,1293.88218100
1536595200000,6297.00000000,6300.00000000,6221.00000000,6262.00000000,2059.47377700
1536598800000,6261.21000000,6280.01000000,6240.00000000,6260.11000000,1519.39610400
1536602400000,6260.11000000,6291.88000000,6241.15000000,6279.46000000,1415.13199700
1536606000000,6280.14000000,6305.00000000,6274.43000000,6296.73000000,1471.49937100
1536609600000,6294.65000000,6317.15000000,6275.00000000,6310.47000000,1591.13153500
1536613200000,6311.99000000,6321.80000000,6286.28000000,6295.81000000,872.33096000
1536616800000,6298.93000000,6300.00000000,6267.46000000,6292.25000000,992.22050700
1536620400000,6292.26000000,6320.58000000,6287.67000000,6312.00000000,1364.27778200
1536624000000,6311.99000000,6346.93000000,6289.00000000,6320.01000000,1183.72871900
1536627600000,6320.01000000,6392.11000000,6320.01000000,6392.10000000,1596.75329000
1536631200000,6385.47000000,6404.00000000,6341.00000000,6357.94000000,1687.32721900
1536634800000,6360.27000000,6384.00000000,6355.00000000,6355.00000000,953.36485000
1536638400000,6355.00000000,6366.66000000,6309.49000000,6325.96000000,1534.70869700
1536642000000,6326.02000000,6348.62000000,6313.04000000,6339.35000000,1023.74655000
1536645600000,6339.36000000,6358.76000000,6330.00000000,6334.98000000,1049.06743300
1536649200000,6333.98000000,6340.92000000,6300.00000000,6310.19000000,1561.57188800
1536652800000,6310.19000000,6331.82000000,6301.00000000,6325.00000000,1001.46421000
1536656400000,6325.00000000,6361.29000000,6317.00000000,6339.98000000,1071.79079000
1536660000000,6340.00000000,6343.19000000,6310.54000000,6315.36000000,877.18375800
1536663600000,6315.10000000,6322.01000000,6250.00000000,6283.75000000,1778.42354000
1536667200000,6280.77000000,6293.97000000,6257.87000000,6276.79000000,1133.39597400
1536670800000,6276.79000000,6303.29000000,6272.31000000,6288.01000000,1952.34413000
1536674400000,6290.00000000,6300.01000000,6169.68000000,6204.15000000,2494.27462800
1536678000000,6204.09000000,6258.49000000,6187.50000000,6250.63000000,1743.65124600
1536681600000,6250.60000000,6274.73000000,6234.47000000,6257.74000000,1184.96449500
1536685200000,6257.00000000,6260.76000000,6224.51000000,6244.00000000,1294.20065800
1536688800000,6243.67000000,6252.11000000,6186.70000000,6243.25000000,1780.22269100
1536692400000,6243.63000000,6288.00000000,6233.00000000,6268.00000000,1111.88013400
1536696000000,6269.23000000,6274.99000000,6246.47000000,6259.77000000,1240.27956700
1536699600000,6259.42000000,6320.01000000,6242.09000000,6316.63000000,1477.49624000
1536703200000,6318.06000000,6323.41000000,6292.00000000,6300.04000000,1021.24288700
1536706800000,6300.06000000,6310.84000000,6272.00000000,6294.91000000,1351.80499600
1536710400000,6293.00000000,6300.59000000,6259.54000000,6259.64000000,1195.23988500
1536714000000,6261.46000000,6281.99000000,6253.17000000,6266.79000000,1048.80618100
1536717600000,6266.79000000,6279.00000000,6231.50000000,6256.00000000,1253.89823100
1536721200000,6255.99000000,6268.61000000,6218.00000000,6260.97000000,1093.53381000
1536724800000,6261.95000000,6290.00000000,6252.38000000,6272.15000000,1361.03992100
1536728400000,6272.14000000,6305.05000000,6270.04000000,6278.50000000,1462.62986400
1536732000000,6276.45000000,6285.00000000,6248.00000000,6253.69000000,522.50054800
1536735600000,6255.08000000,6266.99000000,6230.27000000,6244.94000000,1450.56553300
1536739200000,6245.00000000,6253.15000000,6192.37000000,6249.00000000,1859.71251100
1536742800000,6249.04000000,6265.11000000,6238.15000000,6254.22000000,1315.05271400
1536746400000,6256.22000000,6278.22000000,6240.00000000,6243.95000000,1200.83424400
1536750000000,6242.99000000,6260.00000000,6225.00000000,6243.74000000,927.16554000
1536753600000,6243.76000000,6288.00000000,6243.76000000,6252.49000000,1220.00491700
1536757200000,6252.49000000,6297.24000000,6250.17000000,6295.53000000,1475.80091600
1536760800000,6297.88000000,6299.00000000,6263.47000000,6282.99000000,1135.31956300
1536764400000,6283.00000000,6292.77000000,6257.11000000,6269.39000000,1267.95689300
1536768000000,6269.39000000,6285.00000000,6261.60000000,6271.30000000,1423.86801700
1536771600000,6271.64000000,6318.99000000,6267.44000000,6291.00000000,1616.59773500
1536775200000,6290.52000000,6360.00000000,6283.00000000,6315.65000000,1946.51379600
1536778800000,6316.07000000,6337.99000000,6292.51000000,6312.77000000,1447.30916300
1536782400000,6313.86000000,6322.00000000,6297.00000000,6319.03000000,1554.68723500
1536786000000,6319.04000000,6345.00000000,6303.44000000,6312.99000000,1181.03877500
1536789600000,6313.00000000,6350.00000000,6303.56000000,6350.00000000,1228.22340900
1536793200000,6350.00000000,6353.48000000,6321.93000000,6338.62000000,1245.34653800
1536796800000,6338.62000000,6439.00000000,6337.40000000,6413.94000000,2773.78125800
1536800400000,6414.00000000,6424.85000000,6385.00000000,6400.05000000,1563.81550900
1536804000000,6399.54000000,6406.75000000,6380.00000000,6400.00000000,1243.18440900
1536807600000,6400.00000000,6412.00000000,6380.00000000,6388.00000000,1297.73362900
1536811200000,6388.02000000,6414.88000000,6384.88000000,6399.17000000,1309.52680500
1536814800000,6396.68000000,6407.07000000,6368.46000000,6376.37000000,910.01262400
1536818400000,6377.00000000,6393.63000000,6372.00000000,6390.71000000,822.85305400
1536822000000,6390.70000000,6400.00000000,6380.95000000,6385.01000000,1413.04457100
1536825600000,6385.01000000,6437.41000000,6383.12000000,6419.66000000,1942.58920900
1536829200000,6422.34000000,6488.48000000,6412.02000000,6439.59000000,2136.17884500
1536832800000,6445.98000000,6476.78000000,6430.54000000,6445.88000000,1336.63837700
1536836400000,6445.88000000,6468.88000000,6423.07000000,6468.00000000,1568.17352800
1536840000000,6467.50000000,6487.00000000,6436.55000000,6458.08000000,2315.04200600
1536843600000,6458.08000000,6535.00000000,6452.06000000,6508.29000000,2913.86215500
1536847200000,6509.98000000,6528.13000000,6487.90000000,6493.01000000,2031.05350200
1536850800000,6493.61000000,6496.25000000,6467.00000000,6480.00000000,1087.31451300
1536854400000,6480.00000000,6528.00000000,6479.00000000,6513.15000000,1890.96173900
1536858000000,6513.00000000,6528.96000000,6473.00000000,6500.92000000,1939.63418500
1536861600000,6501.05000000,6507.64000000,6473.00000000,6482.17000000,1547.86063900
1536865200000,6483.01000000,6494.00000000,6418.00000000,6447.76000000,2435.44147200
1536868800000,6449.93000000,6473.05000000,6411.02000000,6467.36000000,1602.48210800
1536872400000,6468.00000000,6478.69000000,6445.78000000,6466.86000000,1046.35328800
1536876000000,6466.87000000,6501.36000000,6462.41000000,6475.89000000,1538.55948500
1536879600000,6480.00000000,6519.00000000,6474.88000000,6487.38000000,1798.96619700
1536883200000,6487.39000000,6501.24000000,6454.68000000,6461.76000000,1105.99189200
1536886800000,6462.79000000,6495.09000000,6460.16000000,6488.99000000,896.64899200
1536890400000,6488.99000000,6565.68000000,6488.77000000,6551.00000000,2592.84959800
1536894000000,6551.00000000,6584.99000000,6542.13000000,6542.37000000,1584.89825900
1536897600000,6545.79000000,6570.00000000,6535.41000000,6545.00000000,1370.34128800
1536901200000,6545.00000000,6570.99000000,6543.32000000,6548.48000000,1227.06502000
1536904800000,6548.49000000,6561.15000000,6535.21000000,6555.04000000,1136.59206300
1536908400000,6554.99000000,6583.89000000,6536.85000000,6543.84000000,1344.33869600
1536912000000,6543.86000000,6549.97000000,6385.62000000,6414.66000000,3436.64113400
1536915600000,6419.58000000,6464.57000000,6405.00000000,6426.07000000,1843.82901100
1536919200000,6425.78000000,6467.10000000,6425.00000000,6441.00000000,1443.20234700
1536922800000,6440.00000000,6480.49000000,6437.62000000,6459.28000000,1797.56069800
1536926400000,6458.52000000,6475.00000000,6443.00000000,6465.96000000,1603.35701900
1536930000000,6465.96000000,6466.42000000,6426.01000000,6443.82000000,1425.83698900
1536933600000,6449.72000000,6458.86000000,6426.01000000,6449.99000000,1573.07053100
1536937200000,6450.00000000,6485.49000000,6449.45000000,6480.00000000,1240.81804200
1536940800000,6479.99000000,6523.21000000,6478.06000000,6507.65000000,1815.93236000
1536944400000,6509.05000000,6509.07000000,6465.00000000,6465.63000000,1439.47801200
