0,1,2,3,4,5
1528934400000,6292.78000000,6331.00000000,6285.46000000,6313.01000000,528.54733200
1528936200000,6313.01000000,6318.92000000,6260.00000000,6265.01000000,685.89229100
1528938000000,6265.01000000,6333.89000000,6260.00000000,6323.00000000,959.64074900
1528939800000,6324.15000000,6334.00000000,6283.13000000,6315.00000000,754.74870400
1528941600000,6314.99000000,6450.00000000,6312.64000000,6432.89000000,1459.08380700
1528943400000,6425.02000000,6523.69000000,6420.06000000,6473.97000000,1508.64485700
1528945200000,6474.00000000,6495.73000000,6455.92000000,6483.00000000,498.67172600
1528947000000,6483.00000000,6507.40000000,6465.71000000,6497.05000000,699.83944800
1528948800000,6502.75000000,6513.74000000,6480.87000000,6489.99000000,679.93497600
1528950600000,6489.99000000,6495.00000000,6461.50000000,6464.99000000,897.53819300
1528952400000,6465.00000000,6471.81000000,6425.01000000,6450.09000000,937.94454200
1528954200000,6449.99000000,6483.80000000,6444.90000000,6465.52000000,695.56492100
1528956000000,6468.54000000,6479.99000000,6455.00000000,6469.04000000,371.92353200
1528957800000,6469.03000000,6495.00000000,6469.03000000,6476.00000000,481.29785900
1528959600000,6476.00000000,6483.00000000,6441.12000000,6473.41000000,588.29940800
1528961400000,6473.40000000,6489.00000000,6464.00000000,6477.59000000,469.01334100
1528963200000,6479.48000000,6556.77000000,6476.68000000,6509.94000000,1406.09788900
1528965000000,6509.94000000,6510.00000000,6466.25000000,6485.01000000,872.72727100
1528966800000,6485.00000000,6508.00000000,6481.94000000,6489.47000000,657.10321300
1528968600000,6489.93000000,6503.00000000,6476.97000000,6503.00000000,790.16996300
1528970400000,6503.20000000,6512.76000000,6484.65000000,6493.66000000,845.51496500
1528972200000,6488.75000000,6502.98000000,6470.00000000,6495.11000000,710.70164800
1528974000000,6495.11000000,6534.00000000,6490.59000000,6525.09000000,701.39119400
1528975800000,6525.09000000,6547.00000000,6505.70000000,6528.00000000,540.47870400
1528977600000,6529.71000000,6535.90000000,6493.80000000,6502.66000000,594.06694700
1528979400000,6501.33000000,6504.97000000,6462.83000000,6478.80000000,825.49762500
1528981200000,6479.00000000,6481.97000000,6365.10000000,6389.69000000,1958.70270000
1528983000000,6389.00000000,6415.67000000,6350.00000000,6372.92000000,1246.13610100
1528984800000,6372.92000000,6406.93000000,6372.91000000,6390.46000000,698.80630500
1528986600000,6392.69000000,6438.00000000,6383.00000000,6419.10000000,588.44288600
1528988400000,6417.30000000,6423.11000000,6373.90000000,6379.72000000,846.76445400
1528990200000,6373.90000000,6396.91000000,6275.16000000,6344.35000000,1487.70559200
1528992000000,6344.35000000,6397.42000000,6344.35000000,6385.00000000,864.76269900
1528993800000,6387.00000000,6550.00000000,6367.47000000,6520.00000000,2111.75745200
1528995600000,6515.89000000,6654.76000000,6486.70000000,6600.00000000,2851.52927100
1528997400000,6600.00000000,6639.95000000,6565.48000000,6610.46000000,1825.26025600
1528999200000,6614.25000000,6720.00000000,6610.46000000,6659.82000000,1952.81992900
1529001000000,6661.08000000,6664.46000000,6607.08000000,6649.87000000,861.00943000
1529002800000,6644.61000000,6657.20000000,6589.29000000,6617.18000000,692.65847200
1529004600000,6614.37000000,6653.70000000,6611.72000000,6642.00000000,594.08320300
1529006400000,6642.88000000,6650.00000000,6614.07000000,6630.55000000,628.18120300
1529008200000,6630.54000000,6688.62000000,6630.00000000,6648.95000000,895.00279200
1529010000000,6650.00000000,6663.84000000,6637.00000000,6650.01000000,516.16981800
1529011800000,6650.01000000,6700.00000000,6631.80000000,6639.99000000,777.09127300
1529013600000,6639.86000000,6654.00000000,6595.00000000,6625.10000000,807.14311700
1529015400000,6625.10000000,6627.97000000,6580.82000000,6612.84000000,726.01954200
1529017200000,6612.84000000,6625.00000000,6580.30000000,6590.11000000,613.06376600
1529019000000,6586.02000000,6667.00000000,6581.67000000,6635.98000000,774.68547100
1529020800000,6638.67000000,6644.98000000,6619.00000000,6625.64000000,594.64028200
1529022600000,6625.64000000,6630.00000000,6584.00000000,6613.42000000,657.58058500
1529024400000,6613.42000000,6617.99000000,6590.00000000,6600.04000000,617.44502000
1529026200000,6600.04000000,6600.04000000,6558.00000000,6584.51000000,1086.21726500
1529028000000,6584.48000000,6594.99000000,6551.11000000,6557.69000000,459.00872300
1529029800000,6559.98000000,6590.25000000,6557.68000000,6586.00000000,590.86378100
1529031600000,6586.00000000,6609.77000000,6579.99000000,6592.91000000,509.00044800
1529033400000,6592.91000000,6614.00000000,6588.12000000,6602.12000000,495.59726800
1529035200000,6602.11000000,6607.96000000,6569.01000000,6575.11000000,431.96073200
1529037000000,6577.00000000,6585.00000000,6525.01000000,6557.05000000,738.49520700
1529038800000,6557.05000000,6563.63000000,6535.07000000,6559.98000000,552.32036700
1529040600000,6559.96000000,6580.20000000,6550.00000000,6564.08000000,636.93691100
1529042400000,6565.91000000,6620.00000000,6562.00000000,6580.50000000,735.38184900
