0,1,2,3,4,5
1538179200000,6634.58000000,6634.58000000,6595.00000000,6612.27000000,491.23951000
1538180100000,6610.01000000,6614.22000000,6590.00000000,6597.43000000,230.16234700
1538181000000,6597.72000000,6610.27000000,6597.42000000,6609.01000000,100.19557200
1538181900000,6609.01000000,6632.38000000,6608.04000000,6624.48000000,266.35852400
1538182800000,6623.00000000,6626.00000000,6577.56000000,6595.75000000,291.82800400
1538183700000,6595.75000000,6602.70000000,6530.00000000,6537.93000000,526.38095500
1538184600000,6531.06000000,6559.01000000,6490.00000000,6512.73000000,1286.96795600
1538185500000,6509.58000000,6527.26000000,6490.00000000,6490.01000000,516.98412100
1538186400000,6490.03000000,6521.65000000,6490.00000000,6514.01000000,287.00825400
1538187300000,6514.01000000,6522.00000000,6500.08000000,6505.02000000,464.86348000
1538188200000,6507.97000000,6522.87000000,6504.68000000,6519.36000000,392.21452800
1538189100000,6520.00000000,6535.54000000,6514.01000000,6514.99000000,380.13644400
1538190000000,6514.01000000,6528.24000000,6507.73000000,6514.86000000,274.57867200
1538190900000,6512.90000000,6516.25000000,6490.00000000,6501.54000000,538.61297100
1538191800000,6501.54000000,6516.15000000,6499.32000000,6506.16000000,353.87524200
1538192700000,6506.15000000,6512.54000000,6493.00000000,6500.89000000,360.10952900
1538193600000,6503.82000000,6511.11000000,6477.30000000,6510.38000000,526.83566400
1538194500000,6509.67000000,6516.00000000,6495.83000000,6503.31000000,226.92761600
1538195400000,6503.24000000,6516.98000000,6503.08000000,6515.02000000,391.22660800
1538196300000,6516.22000000,6517.04000000,6500.00000000,6509.00000000,541.19272000
1538197200000,6509.01000000,6510.00000000,6500.00000000,6503.54000000,241.23374500
1538198100000,6501.67000000,6509.99000000,6501.67000000,6508.04000000,345.18936200
1538199000000,6509.01000000,6518.00000000,6507.32000000,6516.10000000,286.61706700
1538199900000,6516.10000000,6518.35000000,6500.00000000,6505.54000000,353.59298100
1538200800000,6507.57000000,6509.59000000,6488.00000000,6495.13000000,184.22434600
1538201700000,6497.26000000,6497.26000000,6466.00000000,6468.99000000,553.59027700
1538202600000,6467.00000000,6509.00000000,6464.57000000,6500.59000000,424.90135700
1538203500000,6502.65000000,6518.36000000,6500.00000000,6513.97000000,168.68572000
1538204400000,6513.01000000,6519.00000000,6500.59000000,6516.13000000,150.76972900
1538205300000,6516.12000000,6540.37000000,6502.57000000,6533.21000000,272.73131100
1538206200000,6533.21000000,6543.39000000,6518.02000000,6519.79000000,294.20368200
1538207100000,6524.59000000,6557.00000000,6519.44000000,6545.81000000,277.90891600
1538208000000,6549.04000000,6570.00000000,6540.37000000,6549.75000000,447.18973500
1538208900000,6548.01000000,6552.36000000,6540.68000000,6543.01000000,231.39002300
1538209800000,6542.01000000,6550.00000000,6530.74000000,6544.14000000,225.49260400
1538210700000,6544.56000000,6552.14000000,6537.49000000,6541.10000000,222.10449700
1538211600000,6539.57000000,6583.05000000,6539.57000000,6574.99000000,678.50618300
1538212500000,6574.99000000,6597.00000000,6561.01000000,6571.01000000,433.94127100
1538213400000,6574.13000000,6574.13000000,6538.00000000,6544.37000000,338.46284700
1538214300000,6544.31000000,6554.99000000,6534.66000000,6554.99000000,413.38440500
1538215200000,6552.45000000,6570.00000000,6543.85000000,6544.68000000,274.39812100
1538216100000,6544.67000000,6560.79000000,6543.85000000,6551.17000000,301.13937400
1538217000000,6551.21000000,6583.17000000,6551.21000000,6566.13000000,283.80787600
1538217900000,6568.44000000,6575.00000000,6559.48000000,6563.91000000,217.88692100
1538218800000,6563.91000000,6584.99000000,6555.25000000,6576.44000000,287.81784100
1538219700000,6576.36000000,6596.00000000,6566.43000000,6596.00000000,314.87812900
1538220600000,6595.00000000,6620.00000000,6590.01000000,6591.00000000,635.34892300
1538221500000,6591.01000000,6608.27000000,6581.12000000,6584.96000000,351.12075600
1538222400000,6584.96000000,6605.00000000,6569.78000000,6579.25000000,532.00887600
1538223300000,6583.13000000,6591.38000000,6565.94000000,6570.86000000,230.69606800
1538224200000,6568.10000000,6581.62000000,6566.00000000,6576.78000000,190.71112700
1538225100000,6576.79000000,6583.00000000,6571.19000000,6583.00000000,281.05324900
1538226000000,6582.49000000,6595.18000000,6582.00000000,6591.99000000,283.95081100
1538226900000,6591.99000000,6600.49000000,6571.21000000,6577.06000000,276.81586800
1538227800000,6577.06000000,6584.07000000,6555.83000000,6565.65000000,215.15876800
1538228700000,6566.04000000,6574.84000000,6556.66000000,6569.86000000,312.07837300
1538229600000,6569.87000000,6577.77000000,6566.25000000,6569.01000000,317.75414400
1538230500000,6569.65000000,6570.83000000,6541.14000000,6555.00000000,287.35837000
1538231400000,6551.46000000,6563.60000000,6547.02000000,6558.44000000,160.34500200
1538232300000,6559.12000000,6563.00000000,6554.43000000,6561.48000000,217.19546800
1538233200000,6561.59000000,6595.76000000,6561.48000000,6593.91000000,505.71635500
1538234100000,6593.91000000,6594.94000000,6578.59000000,6590.23000000,320.27195100
1538235000000,6590.23000000,6596.00000000,6582.08000000,6590.00000000,362.56843900
1538235900000,6590.01000000,6609.92000000,6588.00000000,6589.01000000,321.96070600
1538236800000,6589.01000000,6594.00000000,6580.00000000,6580.01000000,219.89623700
1538237700000,6581.01000000,6596.30000000,6579.01000000,6589.88000000,283.52775500
1538238600000,6589.91000000,6593.15000000,6570.56000000,6581.00000000,311.68861100
1538239500000,6580.62000000,6586.96000000,6550.83000000,6559.96000000,296.28143700
1538240400000,6560.00000000,6582.00000000,6557.58000000,6569.72000000,133.71205100
1538241300000,6569.71000000,6581.92000000,6565.89000000,6570.15000000,113.22583900
1538242200000,6572.97000000,6595.92000000,6570.11000000,6595.00000000,321.03494300
1538243100000,6595.87000000,6603.92000000,6586.29000000,6593.00000000,293.19832400
1538244000000,6593.00000000,6607.03000000,6587.00000000,6587.37000000,189.44695400
1538244900000,6587.69000000,6603.90000000,6587.37000000,6594.02000000,134.86416400
1538245800000,6594.96000000,6600.94000000,6577.13000000,6583.96000000,230.87823500
1538246700000,6583.90000000,6595.00000000,6580.68000000,6592.03000000,229.28568400
1538247600000,6592.02000000,6594.93000000,6584.04000000,6586.01000000,283.02153400
1538248500000,6586.01000000,6591.17000000,6581.01000000,6584.49000000,252.94480700
1538249400000,6584.49000000,6600.00000000,6580.35000000,6595.01000000,335.84776200
1538250300000,6595.97000000,6600.00000000,6585.04000000,6588.59000000,187.19564000
1538251200000,6588.64000000,6605.00000000,6584.01000000,6598.01000000,274.81696400
1538252100000,6598.23000000,6615.00000000,6596.00000000,6606.49000000,141.22267900
1538253000000,6606.48000000,6610.26000000,6598.41000000,6608.29000000,144.30148300
1538253900000,6610.01000000,6612.99000000,6581.31000000,6595.05000000,210.22046900
1538254800000,6595.10000000,6598.11000000,6577.55000000,6589.92000000,279.31273100
1538255700000,6589.91000000,6600.00000000,6586.10000000,6587.39000000,83.38922900
1538256600000,6589.99000000,6590.56000000,6583.11000000,6585.37000000,88.24471600
1538257500000,6585.39000000,6599.00000000,6585.39000000,6598.93000000,451.36598200
1538258400000,6598.97000000,6608.08000000,6593.91000000,6598.92000000,269.15947100
1538259300000,6598.92000000,6603.98000000,6589.99000000,6599.93000000,150.60470300
1538260200000,6599.93000000,6615.00000000,6598.39000000,6608.51000000,199.72410500
1538261100000,6608.50000000,6617.99000000,6603.16000000,6606.54000000,257.94566500
1538262000000,6609.40000000,6636.00000000,6606.58000000,6627.85000000,435.07046700
